tid,acceleration
31.3,1.55E-05
31.4,1.53E-05
31.5,1.51E-05
31.6,1.49E-05
31.7,1.47E-05
31.8,1.44E-05
31.9,1.42E-05
32,1.40E-05
32.1,1.38E-05
32.2,1.36E-05
32.3,1.34E-05
32.4,1.32E-05
32.5,1.30E-05
32.6,1.29E-05
32.7,1.27E-05
32.8,1.25E-05
32.9,1.23E-05
33,1.21E-05
33.1,1.19E-05
33.2,1.17E-05
33.3,1.15E-05
33.4,1.13E-05
33.5,1.12E-05
33.6,1.10E-05
33.7,1.08E-05
33.8,1.06E-05
33.9,1.05E-05
34,1.03E-05
34.1,1.01E-05
34.2,9.91E-06
34.3,9.73E-06
34.4,9.56E-06
34.5,9.40E-06
34.6,9.24E-06
34.7,9.05E-06
34.8,8.89E-06
34.9,8.71E-06
35,8.55E-06
35.1,8.38E-06
35.2,8.22E-06
35.3,8.05E-06
35.4,7.89E-06
35.5,7.75E-06
35.6,7.57E-06
35.7,7.39E-06
35.8,7.24E-06
35.9,7.08E-06
36,6.92E-06
36.1,6.77E-06
36.2,6.63E-06
36.3,6.44E-06
36.4,6.29E-06
36.5,6.14E-06
36.6,5.97E-06
36.7,5.82E-06
36.8,5.67E-06
36.9,5.51E-06
37,5.37E-06
37.1,5.21E-06
37.2,5.06E-06
37.3,4.92E-06
37.4,4.78E-06
37.5,4.64E-06
37.6,4.47E-06
37.7,4.35E-06
37.8,4.19E-06
37.9,4.04E-06
38,3.91E-06
38.1,3.77E-06
38.2,3.61E-06
38.3,3.46E-06
38.4,3.33E-06
38.5,3.20E-06
38.6,3.07E-06
38.7,2.93E-06
38.8,2.79E-06
38.9,2.64E-06
39,2.50E-06
39.1,2.37E-06
39.2,2.25E-06
39.3,2.10E-06
39.4,1.96E-06
39.5,1.86E-06
39.6,1.71E-06
39.7,1.58E-06
39.8,1.45E-06
39.9,1.32E-06
40,1.25E-06
40.1,1.23E-06
40.2,1.22E-06
40.3,1.22E-06
40.4,1.21E-06
40.5,1.20E-06
40.6,1.20E-06
40.7,1.19E-06
40.8,1.19E-06
40.9,1.18E-06
41,1.18E-06
41.1,1.17E-06
41.2,1.16E-06
41.3,1.16E-06
41.4,1.15E-06
41.5,1.15E-06
41.6,1.14E-06
41.7,1.14E-06
41.8,1.13E-06
41.9,1.13E-06
