tid,hastighet
33.7,0.033080614
33.8,0.032518197
33.9,0.032036293
34,0.03151874
34.1,0.031004223
34.2,0.030492714
34.3,0.029984188
34.4,0.029516655
34.5,0.029013906
34.6,0.028476247
34.7,0.027979394
34.8,0.027485396
34.9,0.026956738
35,0.026468485
35.1,0.025945736
35.2,0.025425957
35.3,0.024909123
35.4,0.024432171
35.5,0.023921048
35.6,0.023412797
35.7,0.022907393
35.8,0.022404813
35.9,0.021868584
36,0.021371681
36.1,0.020877532
36.2,0.020349966
36.3,0.019861353
36.4,0.019339478
36.5,0.018856312
36.6,0.018340034
36.7,0.017862224
36.8,0.017315898
36.9,0.016843452
37,0.016338197
37.1,0.015835665
37.2,0.015300661
37.3,0.014803605
37.4,0.014274221
37.5,0.013782554
37.6,0.013293501
37.7,0.012772336
37.8,0.012288544
37.9,0.01177278
38,0.011259731
38.1,0.010749375
38.2,0.010275945
38.3,0.009770823
38.4,0.009234256
38.5,0.008734464
38.6,0.008237261
38.7,0.007742628
38.8,0.007216821
38.9,0.006727354
39,0.006206846
39.1,0.00588979
39.2,0.005774627
39.3,0.005759933
39.4,0.005745314
39.5,0.005730769
39.6,0.005716297
39.7,0.005701898
39.8,0.005687572
39.9,0.005673317
40,0.005659134
40.1,0.005645021
40.2,0.005630979
40.3,0.005617006
40.4,0.005603103
40.5,0.005589268
40.6,0.005575501
40.7,0.005561802
40.8,0.005548171
40.9,0.005534605
41,0.005521106
41.1,0.005507673
41.2,0.005494305
41.3,0.005481001
41.4,0.005467762
41.5,0.005454587
41.6,0.005441475
41.7,0.005428426
41.8,0.005415439
41.9,0.005402515
