tid,hastighet
0.1,0
0.2,1.308470291
0.3,11.34007585
0.4,16.68299621
0.5,18.05689001
0.6,20.06321113
0.7,25.04785985
0.8,26.98719975
0.9,27.33249052
1,28.00126422
1.1,29.50005746
1.2,28.67730721
1.3,28.48439171
1.4,28.87980856
1.5,28.26295828
1.6,28.704567
1.7,29.32512828
1.8,29.9494311
1.9,29.81934926
2,29.7022756
2.1,29.40942749
2.2,29.02425009
2.3,29.07079646
2.4,28.89538559
2.5,29.57142857
2.6,30.79937761
2.7,31.16097767
2.8,30.79578291
2.9,30.68137234
3,30.92351454
3.1,31.69874801
3.2,32.42552939
3.3,32.07734743
3.4,31.90358444
3.5,32.03882969
3.6,31.94848293
3.7,31.7569276
3.8,31.57545412
3.9,31.57103958
4,31.46871049
4.1,31.17988961
4.2,31.49674914
4.3,32.19445506
4.4,32.50359154
4.5,32.24652339
4.6,32.08596713
4.7,31.93224305
4.8,31.73040455
4.9,31.67032173
5,31.56030341
5.1,31.40328698
5.2,31.57942721
5.3,31.50203945
5.4,31.47597977
5.5,31.37949661
5.6,31.21636265
5.7,31.12781955
5.8,31.11000915
5.9,31.04844758
6,31.03255373
6.1,30.95282999
6.2,30.96009543
6.3,31.02943832
6.4,31.07616941
6.5,31.28250511
6.6,31.1852086
6.7,31.16893409
6.8,31.17238046
6.9,31.13780025
7,31.04813076
7.1,31.07156212
7.2,31.1125158
7.3,31.04480197
7.4,31.10269245
7.5,31.05436157
7.6,31.04173598
7.7,31.02943832
7.8,31.00068074
7.9,30.9892141
8,31.30515171
8.1,31.6779042
8.2,32.04156517
8.3,32.2703456
8.4,32.3846397
8.5,32.3115193
8.6,32.28574369
8.7,32.23048084
8.8,32.11699805
8.9,32.07957499
9,32.08659924
9.1,32.03595393
9.2,32.02907712
9.3,32.02234819
9.4,32.00184254
9.5,31.96799521
9.6,31.92122314
9.7,31.92937297
9.8,32.05752212
9.9,32.16986553
10,32.4108091
10.1,32.36196818
10.2,32.31408493
10.3,32.22902066
10.4,32.19591802
10.5,32.16344591
10.6,32.10689836
10.7,32.10032255
10.8,32.04540666
10.9,32.01550702
11,32.12889323
11.1,32.07520415
11.2,32.27949476
11.3,32.52648714
11.4,32.61993479
11.5,32.63211125
11.6,32.70047735
11.7,32.62228922
11.8,32.722846
11.9,32.96465489
12,33.11520228
12.1,33.07942661
12.2,33.00133676
12.3,32.98834449
12.4,33.13384446
12.5,33.35029077
12.6,33.28291494
12.7,33.27841763
12.8,33.1922112
12.9,33.2189163
13,33.30560148
13.1,33.22116173
13.2,33.20738996
13.3,33.18398715
13.4,33.13163953
13.5,33.17699115
13.6,33.1543281
13.7,33.17975029
13.8,33.16687737
13.9,33.19184349
14,33.16972187
14.1,33.17575383
14.2,33.15405709
14.3,33.08691309
14.4,33.14791403
14.5,33.34343258
14.6,33.54523492
14.7,33.51286153
14.8,33.44556155
14.9,33.41429165
15,33.47067004
15.1,33.65628218
15.2,33.81362699
15.3,33.78932104
15.4,33.73134451
15.5,33.71632478
15.6,33.65955947
15.7,33.61185148
15.8,33.6227176
15.9,33.5840708
16,33.53772914
16.1,33.52447174
16.2,33.50330103
16.3,33.47436265
16.4,33.45375567
16.5,33.53649006
16.6,33.61822765
16.7,33.58145908
16.8,33.65416742
16.9,33.67181831
17,33.69695843
17.1,33.69884889
17.2,33.63985829
17.3,33.61936672
17.4,33.62167052
17.5,33.63142496
17.6,33.66337203
17.7,33.6432107
17.8,33.60857399
17.9,33.57432428
18,33.60587863
18.1,33.57202227
18.2,33.55291674
18.3,33.55547035
18.4,33.5437737
18.5,33.54634913
18.6,33.50668814
18.7,33.53742301
18.8,33.58175081
18.9,33.57022455
19,33.54504624
19.1,33.51328096
19.2,33.47503161
19.3,33.50497501
19.4,33.47390749
19.5,33.46328892
19.6,33.43942697
19.7,33.48222709
19.8,33.43868521
19.9,33.40873139
20,33.37253477
20.1,33.3301885
20.2,33.32064938
20.3,33.31764992
20.4,33.28902357
20.5,33.29259042
20.6,33.31517803
20.7,33.2806574
20.8,33.25905013
20.9,33.281474
21,33.29122268
21.1,33.26987256
21.2,33.26106791
21.3,33.22777372
21.4,33.19479069
21.5,33.16211449
21.6,33.25089549
21.7,33.36900732
21.8,33.38399889
21.9,33.36300504
22,33.33625445
22.1,33.38079411
22.2,33.41903851
22.3,33.44520474
22.4,33.43024765
22.5,33.54917826
22.6,33.66705638
22.7,33.65131964
22.8,33.60702642
22.9,33.58026157
23,33.51959545
23.1,33.49910519
23.2,33.47315162
23.3,33.44180507
23.4,33.42190995
23.5,33.4077521
23.6,33.40480297
23.7,33.38531582
23.8,33.35499687
23.9,33.33588117
24,33.31147282
24.1,33.30355504
24.2,33.3173303
24.3,33.36330009
24.4,33.3391795
24.5,33.33661859
24.6,33.31280257
24.7,33.32626154
24.8,33.39237286
24.9,33.49999238
25,33.5648799
25.1,33.561481
25.2,33.52695503
25.3,33.50821745
25.4,33.50508178
25.5,33.51223321
25.6,33.49888393
25.7,33.52636912
25.8,33.50799694
25.9,33.4695586
26,33.44651366
26.1,33.43367191
26.2,33.41093987
26.3,33.52271034
26.4,33.62372141
26.5,33.67953152
26.6,33.67097421
26.7,33.64777909
26.8,33.63940412
26.9,33.63109141
27,33.59860936
27.1,33.58568023
27.2,33.56322507
27.3,33.52655562
27.4,33.59521349
27.5,33.5586944
27.6,33.54140329
27.7,33.5195133
27.8,33.50248752
27.9,33.48089393
28,33.45945458
28.1,33.47076317
28.2,33.44023186
28.3,33.43303418
28.4,33.43510176
28.5,33.43256371
28.6,33.42089327
28.7,33.3865085
28.8,33.34781922
28.9,33.33203557
29,33.42915995
29.1,33.52112034
29.2,33.52282961
29.3,33.52006144
29.4,33.61967543
29.5,33.7008721
29.6,33.6975305
29.7,33.68099452
29.8,33.64700617
29.9,33.63074978
30,33.62768647
30.1,33.60725521
30.2,33.56962852
30.3,33.59270756
30.4,33.55537627
30.5,33.53974011
30.6,33.53275824
30.7,33.50451126
30.8,33.48494426
30.9,33.4782075
31,33.47151421
31.1,33.48169316
31.2,33.46664398
31.3,33.47259303
31.4,33.47016999
31.5,33.45114683
31.6,33.42810335
31.7,33.39694991
31.8,33.37422179
31.9,33.35983973
32,33.33328066
32.1,33.35580184
32.2,33.34567455
32.3,33.34371196
32.4,33.34983846
32.5,33.33177088
32.6,33.2977593
32.7,33.28396293
32.8,33.27025069
32.9,33.24469046
33,33.23514539
33.1,33.21775182
33.2,33.20046304
33.3,33.19506612
33.4,33.19361908
33.5,33.19218069
33.6,33.17517383
33.7,33.1621506
33.8,33.14920444
33.9,33.13247486
34,33.13893433
34.1,33.12233299
34.2,33.10965467
34.3,33.1123094
34.4,33.1149487
34.5,33.09102402
34.6,33.07101934
34.7,33.05490077
34.8,33.03511487
34.9,33.02668995
35,33.02952863
35.1,32.99880061
35.2,33.02772311
35.3,33.00829445
35.4,33.01115301
